"Bioregions","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"SouthWest",17.5096048026249,6.82974117542135,700.662162162162,82.8513513513514,15.66682532477,5.56095240608094,641.795698924731,76.6129032258065
"CoolTemperate",15.1750282454443,5.31372795522095,242.547703180212,37.6148409893993,13.1984265667575,3.61975525225793,239.012569832402,45.1494413407821
"WarmTemperate",19.0631465166807,6.59704569429159,632.046376811594,28.6898550724638,18.8887499094009,4.79175000786781,707.894613583138,36.4847775175644
"SubTropical",23.3412233569665,5.94925277009458,981.810734463277,96.3785310734463,21.9038795866695,4.59949832297488,1087.74716981132,107.062264150943
"Tropical",24.6531376157488,6.15137758359804,909.007194244604,98.726618705036,22.7866433550428,4.68559440532764,974.686746987952,100.469879518072
