"Site","Lat","Long","SSTmean_cont","SSTrange_cont","SSSmean_cont","SSSrange_cont","SSTmean_LGM","SSTrange_LGM","SST_stability_LGM","SSSmean_LGM","SSSrange_LGM","SSS_stability_LGM","SSTmean_MH","SSTrange_MH","SST_stability_MH","SSSmean_MH","SSSrange_MH","SSS_stability_MH"
"Cape_Recife",-34.03,25.71,19.1730447196961,5.67113263320923,35.4043481496,0.405111098000001,19.3264093780518,4.75587585449219,0.153364658355699,35.2602172851563,0.252430367469788,0.144130864443696,18.7204912918091,4.47607205963132,0.452553427887,35.25,0.341400002241133,0.154348149599997
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,35.3739294724,0.545091686000001,20.4543662261963,4.85597518920899,1.8572963867188,35.2695167541504,0.291127066612244,0.104412718249598,20.6489717964173,4.94804813175197,1.6626908164978,35.251923677063,0.436723998725412,0.122005795337003
"Dwesa",-32.27,28.89,22.9923370834351,5.78961735992432,35.3502949348,0.6020715444,20.8018176269531,4.69361417770385,2.190519456482,35.2614424133301,0.273414363861084,0.0888525214698959,21.7492604393007,4.41929607372282,1.2430766441344,35.25,0.367400007247926,0.100294934799997
"Port_Edward",-31.06,30.23,23.5878345924378,5.83505321960449,35.3129046068,0.623923383200001,21.2820858383179,4.7433883190155,2.3057487541199,35.2482006835937,0.233340816497803,0.0647039232062951,22.4866039222719,4.67581205711369,1.1012306701659,35.210571206665,0.237799996733665,0.102333400134995
"Mhlanga",-29.74,31.08,23.1610802055359,5.70665220108032,35.2183311512,1.0799186892,21.3510570144653,4.76059133529663,1.8100231910706,35.2565311431885,0.290671965777874,0.038199991988499,22.6666560577393,4.60834405174255,0.4944241477966,35.2099990844727,0.371600003242492,0.00833206672729858
"Sheffield_Beach",-29.49,31.26,22.995583997345,5.85913905715943,35.1779787012,1.34250600679999,21.4061554336548,4.80078517913818,1.5894285636902,35.2589070129395,0.293139141798019,0.0809283117395054,22.5525600288391,4.73408419742583,0.443023968505901,35.1961559417725,0.403844002294541,0.0181772405725056
"Zinkwazi",-29.28,31.44,22.9240226745605,5.9428653717041,35.210083,1.116952,21.4847707748413,4.81940591335297,1.4392518997192,35.2587999725342,0.29809743732214,0.0487169725342014,22.3936038887024,4.80121600360871,0.5304187858581,35.189998626709,0.431092006111144,0.0200843732909988
"Lone_Rock",-28.91,31.94,23.2318628829956,6.1000560409546,35.2613035988,0.765154071199996,21.7955445861816,4.83109829902649,1.436318296814,35.2506609344482,0.327585698366165,0.0106426643517992,22.4509801605225,5.20420783500673,0.780882722473098,35.1832757553101,0.474523994493485,0.0780278434898989
"Port_St._Johns",-31.63,29.55,23.1345734977722,5.95138761901855,35.334976186,0.599015436,20.9158504486084,4.63191423416138,2.2187230491638,35.251318359375,0.232636219263077,0.0836578266250001,21.8614797477722,4.13045995044711,1.27309375,35.2299995422363,0.270000010728836,0.104976643763699
"Lamberts_Bay",-32.09,18.31,14.8651833244324,4.92991922454834,35.0579231104,0.557283912800002,15.2919953155518,3.81848937988281,0.426811991119401,35.0026086425781,0.259906333684921,0.0553144678218942,14.5924956733704,4.57377592964171,0.272687651061998,34.9256233703613,0.394375994563102,0.132299740038697
"Mouille_Point",-33.9,18.4,15.8927055549622,6.54974195480347,34.7550345,2.90268222,15.855789899826,4.35586893558502,0.0369156551362,35.1646118164062,0.20686624199152,0.4095773164062,15.0480000305176,4.07030005455017,0.844705524444601,35.2841988754273,0.217899997681379,0.5291643754273
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,35.315000176,1.36558666600001,15.9900648117065,4.55744009017944,0.6824304008484,35.1821151733398,0.202401965856552,0.132885002660196,16.1658395290377,4.52845995712283,0.506655683517199,35.3116011276245,0.20993999350071,0.00339904837549909
"Hondeklip_Bay",-30.32,17.27,14.6814304008484,5.42212721672059,35.084941356,0.496907507999999,13.870817451477,4.06230393409729,0.8106129493714,34.7794291687012,0.389659810066223,0.305512187298802,13.4631878852844,5.30821595325471,1.218242515564,34.9634834915161,0.417399989366533,0.121457864483901
"Jacobs_Bay",-32.97,17.89,15.4329845668793,4.70621183204652,34.0814489476,3.82464896680003,15.3227062988281,3.59114095687866,0.1102782680512,35.0553746795654,0.230222317278385,0.973925731965402,14.6435717258454,5.1034679353715,0.789412841033901,35.1314008331299,0.25,1.0499518855299
"Port_Nolloth",-29.25,16.87,14.4406804847717,5.40804735183716,34.97842919,1.09144129,14.4115335464478,4.17609176635742,0.0291469383239011,34.7594161987305,0.36854133605957,0.219012991269501,14.0981999206543,6.095,0.3424805641174,34.8156005477905,0.364700009822846,0.162828642209497
"Kommetjie",-34.14,18.32,16.753950630188,6.59208466072083,35.2070297896,1.72122563319994,15.7285191249847,4.54728948116302,1.0254315052033,35.1818090057373,0.206941987574101,0.0252207838627001,15.2709998256683,4.17633199310304,1.4829508045197,35.3284010360718,0.209387994027138,0.121371246471803
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,35.431247772,0.772182781999988,16.2018226623535,4.71764793395996,0.640252796173101,35.1906116485596,0.194422967731953,0.240636123440396,16.2060806694031,4.61158017063142,0.635994789123501,35.2977996063232,0.189779997825622,0.133448165676796
"Bettys_Bay",-34.36,18.92,16.8544557571411,6.64212423324585,35.45581398,0.651011899999988,16.2301652145386,4.75619591712952,0.624290542602498,35.1925396728516,0.192362590134144,0.2632743071484,16.382924420929,4.40142398567194,0.471531336212099,35.2900009155273,0.180828006362915,0.165813064472701
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,35.4965196208,0.469253039599998,16.3769792175293,4.87597950935364,0.785578124237102,35.2006782531738,0.186683972477913,0.295841367626203,16.3632882019043,4.64833990306858,0.799269139862101,35.2700004577637,0.166868000108004,0.226519163036301
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,35.5198536164,0.3949262524,16.6732553100586,5.02910440444946,1.1854621124268,35.2185643005371,0.183796708583832,0.301289315862896,17.4000841842652,6.34526410694135,0.458633238220202,35.2799987792969,0.200000002980232,0.239854837103096
"Knysna",-34.09,23.09,18.2799464904785,6.87773188591004,35.4541874052,0.405180997199999,18.3164600372314,4.69851579666138,0.0365135467529001,35.2555389404297,0.208081403374672,0.198648464770301,17.8172563186646,5.63681999568934,0.4626901718139,35.2924365066528,0.235799998641015,0.161750898547204
"Jeffreys_Bay",-34.06,24.93,18.8486533943176,5.67080780715941,35.404679824,0.356200051600001,18.9374794006348,4.72617588043213,0.0888260063171984,35.2577575683594,0.23445665538311,0.146922255640597,18.5091122085571,4.8059160694122,0.339541185760503,35.2448528640747,0.291748005330564,0.159826959925297
"Port_Elizabeth",-33.99,25.68,19.0945058860779,5.6899527885437,35.4046478556,0.399710322000001,19.3102861022949,4.75698410987854,0.215780216216999,35.2608917236328,0.250641033053398,0.143756131967194,18.779839969635,4.80276400985705,0.314665916442902,35.2478923538208,0.346199997663497,0.156755501779195
"Port_Alfred",-33.63,26.87,20.253124005127,6.56437765502929,35.3886807508,0.4704378244,19.8807872009277,4.78261693954468,0.3723368041993,35.2696286010742,0.285284124612808,0.119052149725796,19.2038406356812,4.9692960149765,1.0492833694458,35.2700004577637,0.409399996995926,0.118680293036299
"Haga_Haga",-32.77,28.23,22.3116626129151,6.24407363128661,35.3739294724,0.545091686000001,20.4543662261963,4.85597518920899,1.8572963867188,35.2695167541504,0.291127066612244,0.104412718249598,20.6489717964173,4.94804813175197,1.6626908164978,35.251923677063,0.436723998725412,0.122005795337003
"Port_St._Johns",-31.63,29.55,23.1345734977722,5.95138761901855,35.334976186,0.599015436,20.9158504486084,4.63191423416138,2.2187230491638,35.251318359375,0.232636219263077,0.0836578266250001,21.8614797477722,4.13045995044711,1.27309375,35.2299995422363,0.270000010728836,0.104976643763699
"Breede_(Cape_Infanta)",-34.46,20.87,17.9337957122803,7.90075158729553,35.4808900456,0.4232365428,17.2393481826782,4.77527348518372,0.694447529602101,35.2284838867187,0.190492741763592,0.2524061588813,17.9276446617127,6.76557616271973,0.00615105056759901,35.2901888839722,0.190187997716666,0.1907011616278
"Jongensfontein",-34.43,21.33,17.9977584579468,7.69141722755432,35.4691606312,0.43161302,17.5034280395508,4.74874990463257,0.494330418396,35.2372671508789,0.192824084758759,0.231893480321098,17.8435605323792,6.54600804977417,0.154197925567601,35.2999992370605,0.204599998593331,0.1691613941395
