"Sites","Lat","Long","SSTmean_cont","SSTrange_cont","PrecMean_cont","PrecRange_cont","SSTmean_paleo","SSTrange_paleo","PrecMean_paleo","PrecRange_paleo"
"Kommetjie",-34.14,18.32,16.753950630188,6.59208466072083,867.1556,121.0068,15.6957940277624,4.5632188872718,859.196400000014,126.792800000002
"Alexander_Bay",-28.64,16.45,14.64466913414,5.78731071662902,53.0999999999998,8,13.6434677185551,4.22201614033791,65.8379999999999,11
"Saldanha_Bay",-32.97,17.88,15.4228722080231,4.69549706077576,279.8948,49.94,14.6039449228059,2.79986238971763,318.6128,57.3748000000001
"Langebaan",-33.07,18.04,15.4576575164795,4.90573639984132,278.872800000001,45.0995999999998,14.5827419219478,2.85736559603804,329.431600000002,58.0332000000002
"Yzerfontein",-33.37,18.16,15.4789099983215,5.35735521850587,360.032000000001,54.18,14.8978571551187,3.22267857690652,421.781600000002,69.0200000000002
"Dassen_Island",-33.42,18.09,15.5783712627411,5.3523116344452,371.910800000001,57.4728000000001,15.0312766014261,3.32074468376789,427.959200000003,71.3264000000004
"Rietvlei",-33.84,18.49,16.0044460296631,6.54346370697021,660.054799999999,93.0192000000002,15.2738356720911,4.24164383052147,757.278799999999,110
"Mouille_Point",-33.9,18.4,15.8927055549622,6.54974195480347,861.759999999991,115.869999999999,15.4038286263602,4.2759428521565,909.109999999997,130.899999999999
"Hout_Bay",-34.05,18.35,16.6739995956421,6.56215213775635,1033.39999999999,133.019999999999,15.5978404210767,4.46981221297537,1151.79,158.93
"Olifantsbos",-34.26,18.38,16.9939033470154,6.60545717277527,717.733599999991,103.699999999999,15.7922131663463,4.74307377416579,765.170399999988,113.708799999999
"False_Bay",-34.24,18.66,16.7467242179871,6.74048820724487,NA,NA,15.7061957276386,4.92298912742864,641.615999999996,88.3191999999992
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,871.087999999995,118.739999999999,15.657087432528,4.6700000045369,922.181999999977,130.099999999996
"Muizenberg",-34.1,18.49,16.6235429763794,6.73756002426149,810.463999999975,114.089999999998,15.613678808657,4.66683937848541,867.029999999969,123.263999999996
"Rooiels",-34.3,18.81,16.8420754585266,6.68849772453308,691.324000000011,88.7820000000012,15.7414025271811,5.08548780476175,731.192000000016,91.0000000000012
"Cape_Hangklip",-34.39,18.83,16.8759667472839,6.65817277984619,660.100000000003,83.7600000000002,15.8266299073867,5.13292816594161,662.290400000002,82.2976
"Palmiet",-34.34,19,16.896785736084,6.61854982376098,758.999999999972,89.7199999999968,15.7900000760253,5.26021126290442,809.559999999965,93.6799999999963
"Kleinmond",-34.35,19.02,16.8896308898926,6.6145432472229,717.143999999977,85.0159999999975,15.798057624762,5.28359711942055,760.119999999976,88.4719999999975
"Kleinzee",-29.68,17.05,14.370616104126,5.39771842956543,95.1240000000005,15.66,13.2836144401366,3.96572291420167,115.008000000001,23.1320000000002
"Wooleys_Pool",-34.13,18.45,16.6724952125549,6.70046451187135,871.087999999995,118.739999999999,15.657087432528,4.6700000045369,922.181999999977,130.099999999996
"Uilenkraals_River",-34.61,19.41,17.1847926330567,6.76115343093873,538.999199999998,52.9955999999997,15.9503333409627,5.54413332621256,571.523999999999,55.4311999999997
"Cape_Agulhas",-34.83,20.01,17.8587174224854,7.70142462196351,514.426,49.5208000000003,16.0184614915114,5.83392306841337,531.9312,51.3800000000001
"Gansbaai",-34.58,19.34,17.1625573417664,6.71408381156921,549.396,55.5731999999999,15.9391892020767,5.49648648017162,579.6624,57.5863999999999
"Alphard_Banks",-35.03,20.87,18.1354780021667,7.63350142021177,NA,NA,16.2659574163721,5.85255319514173,632.958800000002,43.9200000000001
