"","F","pval"
"h_Bioregion",5.37584571185669,0.00147061969547412
"h_Habitat",1.09045695397422,0.29784394726596
"pi_Bioregion",4.52251673924446,0.00443761755749501
"pi_Habitat",5.86331478426323,0.0164928829330598
