Site,Bioregion,Lat,Long,pi,Genus,Species,spp,Habitat,Diet
Rooiels,SouthWest,-34.3,18.81,0.0196,Acanthochiton,garnoti,Aga,Rocky,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.0068,Acanthochiton,garnoti,Aga,Rocky,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.0105,Acanthochiton,garnoti,Aga,Rocky,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.0041,Acanthochiton,garnoti,Aga,Rocky,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.0070,Acanthochiton,garnoti,Aga,Rocky,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.0067,Acanthochiton,garnoti,Aga,Rocky,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0067,Acanthochiton,garnoti,Aga,Rocky,Grazer
East_London,SubTropical,-33.06,27.87,0.0060,Acanthochiton,garnoti,Aga,Rocky,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.0042,Acanthochiton,garnoti,Aga,Rocky,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.0065,Acanthochiton,garnoti,Aga,Rocky,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0012,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Strandfontein,CoolTemperate,-31.75,18.23,0.0003,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.0009,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Ramsgate,SubTropical,-30.87,30.37,0.0004,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Still_Bay,WarmTemperate,-34.37,21.44,0.0009,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.0004,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Cape_Recife,WarmTemperate,-34.03,25.71,0.0003,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.0012,Afrolittorina,knysnaensis,Akn,Rocky,Grazer
Kromme,WarmTemperate,-34.15,24.84,0.0017,Nassarius,kraussianus,Nkr,Estuarine,Grazer
Cefani,SubTropical,-32.81,28.14,0.0036,Nassarius,kraussianus,Nkr,Estuarine,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.0016,Nassarius,kraussianus,Nkr,Estuarine,Grazer
Gqunube,SubTropical,-32.94,28.03,0.0024,Nassarius,kraussianus,Nkr,Estuarine,Grazer
Umganzana,SubTropical,-31.71,29.42,0.0029,Nassarius,kraussianus,Nkr,Estuarine,Grazer
Richards_Bay,SubTropical,-28.81,32.09,0.0017,Nassarius,kraussianus,Nkr,Estuarine,Grazer
Elands_Bay,CoolTemperate,-32.32,18.33,0.0015,Jasus,lalandi,Jla,Rocky,Carnivorous
Dassen_Island,CoolTemperate,-33.42,18.09,0.0018,Jasus,lalandi,Jla,Rocky,Carnivorous
Hout_Bay,CoolTemperate,-34.05,18.35,0.0036,Jasus,lalandi,Jla,Rocky,Carnivorous
Olifantsbos,SouthWest,-34.26,18.38,0.0015,Jasus,lalandi,Jla,Rocky,Carnivorous
Cape_Hangklip,SouthWest,-34.39,18.83,0.0027,Jasus,lalandi,Jla,Rocky,Carnivorous
Port_Nolloth,CoolTemperate,-29.25,16.87,0.0016,Jasus,lalandi,Jla,Rocky,Carnivorous
East_London,SubTropical,-33.06,27.87,0.0004,Jasus,lalandi,Jla,Rocky,Carnivorous
False_Bay,SouthWest,-34.24,18.66,0.0090,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
De_Hoop,WarmTemperate,-34.46,20.56,0.0110,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
Knysna,WarmTemperate,-34.09,23.09,0.0100,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
East_London,SubTropical,-33.06,27.87,0.0130,Lithognathus,lithognathus,Lli,Sandy,Carnivorous
