Sites,Bioregion,Lat,Long,h,Genus,Species,spp,Substrate,Diet
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.7947,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.9643,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.8718,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.8632,Cyclograpsus,punctatus,Cpu,Hard,Grazer
Elands_Bay,CoolTemperate,-32.32,18.33,0.54,Jasus,lalandi,Jla,Hard,Carnivorous
Dassen_Island,CoolTemperate,-33.42,18.09,0.7,Jasus,lalandi,Jla,Hard,Carnivorous
Hout_Bay,CoolTemperate,-34.05,18.35,0.86,Jasus,lalandi,Jla,Hard,Carnivorous
Port_Nolloth,CoolTemperate,-29.25,16.87,0.61,Jasus,lalandi,Jla,Hard,Carnivorous
Olifantsbos,SouthWest,-34.26,18.38,0.56,Jasus,lalandi,Jla,Hard,Carnivorous
Cape_Hangklip,SouthWest,-34.39,18.83,0.75,Jasus,lalandi,Jla,Hard,Carnivorous
East_London,SubTropical,-33.06,27.87,0.2,Jasus,lalandi,Jla,Hard,Carnivorous
Langebaan,CoolTemperate,-33.07,18.04,0.99,Lithognathus,lithognathus,Lli,Soft,Carnivorous
False_Bay,SouthWest,-34.24,18.66,0.985,Lithognathus,lithognathus,Lli,Soft,Carnivorous
East_London,SubTropical,-33.06,27.87,0.979,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Coffee_Bay,SubTropical,-31.99,29.15,0.993,Lithognathus,lithognathus,Lli,Soft,Carnivorous
De_Hoop,WarmTemperate,-34.46,20.56,0.979,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Knysna,WarmTemperate,-34.09,23.09,0.988,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.98,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Port_Alfred,WarmTemperate,-33.63,26.87,0.997,Lithognathus,lithognathus,Lli,Soft,Carnivorous
Cefani,SubTropical,-32.81,28.14,0.64,Nassarius,kraussianus,Nkr,Soft,Grazer
Gqunube,SubTropical,-32.94,28.03,0.53,Nassarius,kraussianus,Nkr,Soft,Grazer
Umganzana,SubTropical,-31.71,29.42,0.96,Nassarius,kraussianus,Nkr,Soft,Grazer
Richards_Bay,SubTropical,-28.81,32.09,0.78,Nassarius,kraussianus,Nkr,Soft,Grazer
Kromme,WarmTemperate,-34.15,24.84,0.53,Nassarius,kraussianus,Nkr,Soft,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.67,Nassarius,kraussianus,Nkr,Soft,Grazer
Brandsebaai,CoolTemperate,-31.3,17.88,0.87,Oxystele,tigrina,Oti,Hard,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.89,Oxystele,tigrina,Oti,Hard,Grazer
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.92,Oxystele,tigrina,Oti,Hard,Grazer
Kommetjie,CoolTemperate,-34.14,18.32,0.88,Oxystele,tigrina,Oti,Hard,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.9,Oxystele,tigrina,Oti,Hard,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.91,Oxystele,tigrina,Oti,Hard,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.91,Oxystele,tigrina,Oti,Hard,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.95425,Oxystele,tigrina,Oti,Hard,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.93333,Oxystele,tigrina,Oti,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.89855,Oxystele,tigrina,Oti,Hard,Grazer
Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.93074,Oxystele,tigrina,Oti,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.98693,Oxystele,tigrina,Oti,Hard,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.96324,Oxystele,tigrina,Oti,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.95238,Oxystele,tigrina,Oti,Hard,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.90043,Oxystele,tigrina,Oti,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.90909,Oxystele,tigrina,Oti,Hard,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.19474,Oxystele,variegata,Ova,Hard,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.35238,Oxystele,variegata,Ova,Hard,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.35238,Oxystele,variegata,Ova,Hard,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.91667,Oxystele,variegata,Ova,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.88571,Oxystele,variegata,Ova,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.84762,Oxystele,variegata,Ova,Hard,Grazer
Herolds_Bay,WarmTemperate,-34.06,22.4,0.90909,Oxystele,variegata,Ova,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.78261,Oxystele,variegata,Ova,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.83824,Oxystele,variegata,Ova,Hard,Grazer
Olifants_river,CoolTemperate,-31.71,18.19,0.844,Palaemon,peringueyi,Ppe,Soft,Grazer
Berg_river,CoolTemperate,-32.77,18.14,0.742,Palaemon,peringueyi,Ppe,Soft,Grazer
Langebaan,CoolTemperate,-33.07,18.04,0.356,Palaemon,peringueyi,Ppe,Soft,Grazer
Rooiels,SouthWest,-34.3,18.81,0.822,Palaemon,peringueyi,Ppe,Soft,Grazer
Palmiet,SouthWest,-34.34,19,0.8,Palaemon,peringueyi,Ppe,Soft,Grazer
Kleinmond,SouthWest,-34.35,19.02,0.89,Palaemon,peringueyi,Ppe,Soft,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.87,Palaemon,peringueyi,Ppe,Soft,Grazer
Kidds_Beach,SubTropical,-33.16,27.7,0.89,Palaemon,peringueyi,Ppe,Soft,Grazer
Nahoon_river,SubTropical,-32.99,27.95,0.861,Palaemon,peringueyi,Ppe,Soft,Grazer
Kei_river,SubTropical,-32.68,28.39,0.822,Palaemon,peringueyi,Ppe,Soft,Grazer
Umganzana,SubTropical,-31.71,29.42,0.476,Palaemon,peringueyi,Ppe,Soft,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.71,Palaemon,peringueyi,Ppe,Soft,Grazer
Umzumbe,SubTropical,-30.63,30.54,0.81,Palaemon,peringueyi,Ppe,Soft,Grazer
Nonoti,SubTropical,-29.33,31.39,0.73,Palaemon,peringueyi,Ppe,Soft,Grazer
Mossel_Bay,WarmTemperate,-34.19,22.16,0.93,Palaemon,peringueyi,Ppe,Soft,Grazer
Groot_Brak,WarmTemperate,-34.06,22.23,0.8,Palaemon,peringueyi,Ppe,Soft,Grazer
Touw_river,WarmTemperate,-34,22.58,0.75,Palaemon,peringueyi,Ppe,Soft,Grazer
Swartvlei,WarmTemperate,-34.03,22.78,0.756,Palaemon,peringueyi,Ppe,Soft,Grazer
Goukamma,WarmTemperate,-34.05,22.86,0.786,Palaemon,peringueyi,Ppe,Soft,Grazer
Brenton_on_Sea,WarmTemperate,-34.08,23.03,0.93,Palaemon,peringueyi,Ppe,Soft,Grazer
Gamtoos_river,WarmTemperate,-33.98,25.03,0.778,Palaemon,peringueyi,Ppe,Soft,Grazer
Sundays_river,WarmTemperate,-33.73,25.85,0.75,Palaemon,peringueyi,Ppe,Soft,Grazer
Bushmans_river,WarmTemperate,-33.7,26.65,0.533,Palaemon,peringueyi,Ppe,Soft,Grazer
Fish_river,WarmTemperate,-33.5,27.14,0.889,Palaemon,peringueyi,Ppe,Soft,Grazer
Old_womans_river,WarmTemperate,-33.48,27.15,0.511,Palaemon,peringueyi,Ppe,Soft,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.844,Palaemon,peringueyi,Ppe,Soft,Grazer
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.81,Palaemon,peringueyi,Ppe,Soft,Grazer
Swartkops_River,WarmTemperate,-33.87,25.63,0.88,Palaemon,peringueyi,Ppe,Soft,Grazer
Lamberts_Bay,CoolTemperate,-32.09,18.31,0.98,Parechinus,angulosus,Pan,Hard,Grazer
Mouille_Point,CoolTemperate,-33.9,18.4,0.92,Parechinus,angulosus,Pan,Hard,Grazer
Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.84,Parechinus,angulosus,Pan,Hard,Grazer
Jacobs_Bay,CoolTemperate,-32.97,17.89,0.97,Parechinus,angulosus,Pan,Hard,Grazer
Port_Nolloth,CoolTemperate,-29.25,16.87,0.94,Parechinus,angulosus,Pan,Hard,Grazer
Kommetjie,CoolTemperate,-34.14,18.32,0.95,Parechinus,angulosus,Pan,Hard,Grazer
Wooleys_Pool,SouthWest,-34.13,18.45,0.9,Parechinus,angulosus,Pan,Hard,Grazer
Rooiels,SouthWest,-34.3,18.81,0.9,Parechinus,angulosus,Pan,Hard,Grazer
Bettys_Bay,SouthWest,-34.36,18.92,0.94,Parechinus,angulosus,Pan,Hard,Grazer
Gansbaai,SouthWest,-34.58,19.34,0.96,Parechinus,angulosus,Pan,Hard,Grazer
Haga_Haga,SubTropical,-32.77,28.23,0.77,Parechinus,angulosus,Pan,Hard,Grazer
Port_St._Johns,SubTropical,-31.63,29.55,0.92,Parechinus,angulosus,Pan,Hard,Grazer
Cape_Agulhas,WarmTemperate,-34.83,20.01,0.92,Parechinus,angulosus,Pan,Hard,Grazer
Knysna,WarmTemperate,-34.09,23.09,0.89,Parechinus,angulosus,Pan,Hard,Grazer
Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.84,Parechinus,angulosus,Pan,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.85,Parechinus,angulosus,Pan,Hard,Grazer
Port_Alfred,WarmTemperate,-33.63,26.87,0.97,Parechinus,angulosus,Pan,Hard,Grazer
Kleinmond,SouthWest,-34.35,19.02,0.89,Perna,perna,Ppa,Hard,Filter feeder
Gansbaai,SouthWest,-34.58,19.34,0.87,Perna,perna,Ppa,Hard,Filter feeder
Kidds_Beach,SubTropical,-33.16,27.7,0.89,Perna,perna,Ppa,Hard,Filter feeder
Haga_Haga,SubTropical,-32.77,28.23,0.71,Perna,perna,Ppa,Hard,Filter feeder
Umzumbe,SubTropical,-30.63,30.54,0.81,Perna,perna,Ppa,Hard,Filter feeder
Nonoti,SubTropical,-29.33,31.39,0.73,Perna,perna,Ppa,Hard,Filter feeder
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.81,Perna,perna,Ppa,Hard,Filter feeder
Swartkops_River,WarmTemperate,-33.87,25.63,0.88,Perna,perna,Ppa,Hard,Filter feeder
Salt_Rock,SubTropical,-29.5,31.24,0.86,Siphonaria,capensis,Sca,Hard,Grazer
Mhlanga,SubTropical,-29.74,31.08,0.77,Siphonaria,capensis,Sca,Hard,Grazer
Blythedale_Beach,SubTropical,-29.37,31.35,0.87,Siphonaria,capensis,Sca,Hard,Grazer
Swartkops_River,WarmTemperate,-33.87,25.63,0.79,Siphonaria,capensis,Sca,Hard,Grazer
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.76,Siphonaria,capensis,Sca,Hard,Grazer
Gqunube,SubTropical,-32.94,28.03,0.71,Siphonaria,serrata,Sse,Hard,Grazer
Chintsa,SubTropical,-32.83,28.12,0.43,Siphonaria,serrata,Sse,Hard,Grazer
Ngogwana,SubTropical,-32.65,28.42,0.58,Siphonaria,serrata,Sse,Hard,Grazer
Wavecrest,SubTropical,-32.59,28.53,0.24,Siphonaria,serrata,Sse,Hard,Grazer
Umzumbe,SubTropical,-30.63,30.54,0.47,Siphonaria,serrata,Sse,Hard,Grazer
Shakas_Rock,SubTropical,-29.52,31.23,0.57,Siphonaria,serrata,Sse,Hard,Grazer
Nonoti,SubTropical,-29.33,31.39,0.44,Siphonaria,serrata,Sse,Hard,Grazer
Port_Edward,SubTropical,-31.06,30.23,0.62,Siphonaria,serrata,Sse,Hard,Grazer
Schoenmakerskop,WarmTemperate,-34.05,25.6,0.66,Siphonaria,serrata,Sse,Hard,Grazer
Port_Elizabeth,WarmTemperate,-33.99,25.68,0.84,Siphonaria,serrata,Sse,Hard,Grazer
