id,Sites,Bioregion,Lat,Long,h,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
18,Langebaan,CoolTemperate,-33.07,18.04,0.4,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
19,Yzerfontein,CoolTemperate,-33.37,18.16,0.65,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
20,Dassen_Island,CoolTemperate,-33.42,18.09,0.7,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
21,Rietvlei,CoolTemperate,-33.84,18.49,0.77,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
23,Mouille_Point,CoolTemperate,-33.9,18.4,0.92,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
24,Hout_Bay,CoolTemperate,-34.05,18.35,0.86,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
26,Olifantsbos,SouthWest,-34.26,18.38,0.56,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
27,False_Bay,SouthWest,-34.24,18.66,0.985,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
28,Wooleys_Pool,SouthWest,-34.13,18.45,0.9,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
30,Muizenberg,SouthWest,-34.1,18.49,0.91,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
31,Rooiels,SouthWest,-34.3,18.81,0.822,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
32,Cape_Hangklip,SouthWest,-34.39,18.83,0.75,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
34,Palmiet,SouthWest,-34.34,19,0.8,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
35,Kleinmond,SouthWest,-34.35,19.02,0.89,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
36,Kleinzee,CoolTemperate,-29.68,17.05,0.8,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
38,Wooleys_Pool,SouthWest,-34.13,18.45,0.93333,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
39,Uilenkraals_River,SouthWest,-34.61,19.41,0.91,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
40,Cape_Agulhas,WarmTemperate,-34.83,20.01,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
41,Gansbaai,SouthWest,-34.58,19.34,0.95425,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
42,Alphard_Banks,WarmTemperate,-35.03,20.87,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
43,De_Hoop,WarmTemperate,-34.46,20.56,0.979,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
44,Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.969,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
45,Breede_(Witsand),WarmTemperate,-34.39,20.86,0.96,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
46,Jongensfontein,WarmTemperate,-34.43,21.33,0.96,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
47,Still_Bay,WarmTemperate,-34.37,21.44,0.92,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
48,Gouritzmound,WarmTemperate,-34.35,21.88,0.93,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
49,Mossel_Bay,WarmTemperate,-34.19,22.16,0.93,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
50,Klein_Brak,WarmTemperate,-34.09,22.15,0.92,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
51,Groot_Brak,WarmTemperate,-34.06,22.23,0.8,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
52,Glentana,WarmTemperate,-34.05,22.32,0.93,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
53,Herolds_Bay,WarmTemperate,-34.06,22.4,0.94,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
54,Touw_river,WarmTemperate,-34,22.58,0.75,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
55,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.84,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
56,Swartvlei,WarmTemperate,-34.03,22.78,0.756,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
57,Goukamma,WarmTemperate,-34.05,22.86,0.786,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
58,Brenton_on_Sea,WarmTemperate,-34.08,23.03,0.93,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
59,Knysna,WarmTemperate,-34.09,23.09,0.988,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
60,Plettenberg_bay,WarmTemperate,-34.07,23.38,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
61,Tsitsikamma,WarmTemperate,-34.01,23.78,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
62,Kromme,WarmTemperate,-34.15,24.84,0.53,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
63,Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.2,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
64,Gamtoos_river,WarmTemperate,-33.98,25.03,0.778,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
65,Schoenmakerskop,WarmTemperate,-34.05,25.6,0.66,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
66,Cape_Recife,WarmTemperate,-34.03,25.71,0.2,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
67,Port_Elizabeth,WarmTemperate,-33.99,25.68,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
68,Swartkops_River,WarmTemperate,-33.87,25.63,0.79,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
69,Sundays_river,WarmTemperate,-33.73,25.85,0.75,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
71,Bushmans_river,WarmTemperate,-33.7,26.65,0.533,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
72,Port_Alfred,WarmTemperate,-33.63,26.87,1,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
73,Fish_river,WarmTemperate,-33.5,27.14,0.889,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
74,Old_womans_river,WarmTemperate,-33.48,27.15,0.511,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
75,Kidds_Beach,SubTropical,-33.16,27.7,0.89,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
76,East_London,SubTropical,-33.06,27.87,0.979,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
77,Nahoon_river,SubTropical,-32.99,27.95,0.861,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
78,Gqunube,SubTropical,-32.94,28.03,0.71,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
79,Chintsa,SubTropical,-32.83,28.12,0.43,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
80,Cefani,SubTropical,-32.81,28.14,0.64,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
81,Haga_Haga,SubTropical,-32.77,28.23,0.49,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
83,Kei_river,SubTropical,-32.68,28.39,0.822,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
84,Ngogwana,SubTropical,-32.65,28.42,0.58,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
86,Wavecrest,SubTropical,-32.59,28.53,0.24,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
87,Dwesa,SubTropical,-32.27,28.89,0.35,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
89,Umganzana,SubTropical,-31.71,29.42,0.476,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
90,Coffee_Bay,SubTropical,-31.99,29.15,0.93,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
92,Port_St._Johns,SubTropical,-31.63,29.55,0.42,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
94,Doringbaai,CoolTemperate,-31.8,18.22,0.26,Tylos,granulatus,Tgr,No,NE,direct developer,6,Benthic,Low,Sandy,Grazer
95,Port_Edward,SubTropical,-31.06,30.23,0.26,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
96,Ramsgate,SubTropical,-30.87,30.37,0.18,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
97,Port_Shepstone,SubTropical,-30.74,30.46,0.98,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
98,Umzumbe,SubTropical,-30.63,30.54,0.47,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
102,Durban,SubTropical,-29.87,31.05,0.846,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
103,Mhlanga,SubTropical,-29.74,31.08,0.14,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
104,Shakas_Rock,SubTropical,-29.52,31.23,0.57,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
105,Salt_Rock,SubTropical,-29.5,31.24,0.86,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
106,Sheffield_Beach,SubTropical,-29.49,31.26,0.26,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
107,Blythedale_Beach,SubTropical,-29.37,31.35,0.95,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
108,Nonoti,SubTropical,-29.33,31.39,0.44,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
109,Zinkwazi,SubTropical,-29.28,31.44,0.36,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
110,Lone_Rock,SubTropical,-28.91,31.94,0.51,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
111,Richards_Bay,SubTropical,-28.81,32.09,0.96,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
112,Cape_St_Lucia,Tropical,-28.53,32.4,0.97,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
