id,Sites,Bioregion,Lat,Long,pi,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
631,Jeffreys_Bay,WarmTemperate,-34.06,24.93,0.0062,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
632,Jeffreys_Bay,WarmTemperate,-34.06,24.93,4.00E-04,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
651,Schoenmakerskop,WarmTemperate,-34.05,25.6,0.0034,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
653,Schoenmakerskop,WarmTemperate,-34.05,25.6,0.009,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
661,Cape_Recife,WarmTemperate,-34.03,25.71,0.00028,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
672,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.012,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
673,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.06,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
674,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.0035,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
675,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.005,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
676,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.006737,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
677,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.00279,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
682,Swartkops_River,WarmTemperate,-33.87,25.63,0.01,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
711,Kommetjie,CoolTemperate,-34.14,18.32,0.0051,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
712,Cape_Agulhas,WarmTemperate,-34.83,20.01,0.00586,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
721,Port_Alfred,WarmTemperate,-33.63,26.87,0.013,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
722,Port_Alfred,WarmTemperate,-33.63,26.87,0.07,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
723,Port_Alfred,WarmTemperate,-33.63,26.87,0.0124,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
724,Port_Alfred,WarmTemperate,-33.63,26.87,0.0131,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
725,Port_Alfred,WarmTemperate,-33.63,26.87,0.00119,Afrolittorina,knysnaensis,Akn,No,NE,planktonic,1,Benthic,Low,Rocky,Grazer
726,Port_Alfred,WarmTemperate,-33.63,26.87,0.0016,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
727,Port_Alfred,WarmTemperate,-33.63,26.87,0.009,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
729,Port_Alfred,WarmTemperate,-33.63,26.87,0.01,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
761,East_London,SubTropical,-33.06,27.87,4.00E-04,Jasus,lalandi,Jla,Yes,LC,planktonic,30,Benthic,Low,Rocky,Carnivorous
762,East_London,SubTropical,-33.06,27.87,0.006006,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
781,Gqunube,SubTropical,-32.94,28.03,0.0024,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
782,Gqunube,SubTropical,-32.94,28.03,0.0066,Hymenosoma,orbiculare,Hor,No,NE,planktonic,1.5,Benthic,Low,Estuarine,Carnivorous
810,Port_Nolloth,CoolTemperate,-29.25,16.87,0.0052,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
811,Haga_Haga,SubTropical,-32.77,28.23,0.11,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
812,Haga_Haga,SubTropical,-32.77,28.23,0.0025,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
813,Haga_Haga,SubTropical,-32.77,28.23,0.0044,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
814,Haga_Haga,SubTropical,-32.77,28.23,0.01,Caffrogobius,caffer,Cca,No,NE,planktonic,18,Benthic,Low,Rocky,Carnivorous
816,Haga_Haga,SubTropical,-32.77,28.23,0.004153,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
817,Haga_Haga,SubTropical,-32.77,28.23,0.00384,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
818,Breede_(Cape_Infanta),WarmTemperate,-34.46,20.87,0.00561,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
892,Umganzana,SubTropical,-31.71,29.42,0.0029,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
901,Coffee_Bay,SubTropical,-31.99,29.15,0.012,Chrysoblephus,puniceus,Cpu,Yes,LC,planktonic,65,Demersal Deep,Low,Rocky,Carnivorous
902,Coffee_Bay,SubTropical,-31.99,29.15,0.013,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
903,Coffee_Bay,SubTropical,-31.99,29.15,0.008,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
921,Port_St._Johns,SubTropical,-31.63,29.55,0.00159,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
922,Port_St._Johns,SubTropical,-31.63,29.55,0.006,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
923,Port_St._Johns,SubTropical,-31.63,29.55,0.1,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
924,Port_St._Johns,SubTropical,-31.63,29.55,0.009,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
926,Port_St._Johns,SubTropical,-31.63,29.55,0.0043,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
951,Port_Edward,SubTropical,-31.06,30.23,0.0067,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
981,Umzumbe,SubTropical,-30.63,30.54,0.0041,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
1012,Brandsebaai,CoolTemperate,-31.3,17.88,0.0055,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
1013,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.02,Excirolana,natalensis,Ena,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
1014,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.02,Excirolana,latipes,Ela,No,NE,direct developer,0.4,Benthic,Low,Sandy,Grazer
1015,Lamberts_Bay,CoolTemperate,-32.09,18.31,0.00122,Oxystele,variegata,Ova,No,NE,planktonic,2,Benthic,Low,Rocky,Grazer
1016,Knysna,WarmTemperate,-34.09,23.09,0.00635,Oxystele,tigrina,Oti,No,NE,planktonic,3,Benthic,Low,Rocky,Grazer
1031,Mhlanga,SubTropical,-29.74,31.08,0.0042,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1071,Blythedale_Beach,SubTropical,-29.37,31.35,0.00022,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1072,Blythedale_Beach,SubTropical,-29.37,31.35,0.003,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1081,Nonoti,SubTropical,-29.33,31.39,0.002,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
1091,Zinkwazi,SubTropical,-29.28,31.44,0.0014,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1101,Lone_Rock,SubTropical,-28.91,31.94,0.024,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
1110,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.00529,Oxystele,tigrina,Oti,No,NE,planktonic,1.5,Benthic,Low,Rocky,Grazer
1111,Richards_Bay,SubTropical,-28.81,32.09,0.008,Palinurus,delagoae,Pde,Yes,LC,planktonic,40,Demersal Deep,Medium,Sandy,Carnivorous
1112,Richards_Bay,SubTropical,-28.81,32.09,0.0017,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
1121,Cape_St_Lucia,Tropical,-28.53,32.4,0.00065,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1122,Cape_St_Lucia,Tropical,-28.53,32.4,0.0022,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1123,Cape_St_Lucia,Tropical,-28.53,32.4,0.0019,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
1131,Mission_Rocks,Tropical,-28.28,32.49,0.0022,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1132,Mission_Rocks,Tropical,-28.28,32.49,0.00357,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1141,Jesser_Point,Tropical,-27.51,32.68,0.0022,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1142,Jesser_Point,Tropical,-27.51,32.68,0.00342,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1151,Nine_Mile_Beach,Tropical,-27.38,32.73,0.00078,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1161,Mabibi,Tropical,-27.41,32.74,0.0061,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
1162,Mabibi,Tropical,-27.41,32.74,0.0014,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1163,Mabibi,Tropical,-27.41,32.74,0.00583,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
1171,Ponta_de_Ouro,Tropical,-26.87,32.89,0.0078,Siphonaria,concinna,Sco,No,NE,planktonic,3.4,Benthic,Low,Rocky,Grazer
1172,Ponta_de_Ouro,Tropical,-26.87,32.89,0.0013,Siphonaria,nigerrima,Sni,No,NE,direct developer,2.5,Benthic,Low,Rocky,Grazer
1173,Ponta_de_Ouro,Tropical,-26.87,32.89,0.00475,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
7210,Port_Alfred,WarmTemperate,-33.63,26.87,0.006486,Acanthochiton,garnoti,Aga,No,NE,planktonic,4,Benthic,Low,Rocky,Grazer
