id,Sites,Bioregion,Lat,Long,pi,Genus,Species,spp,Exploited,IUCN_status,Reproduction,Max_body_size_cm,Vertical_distribution,Adult_mobility,Habitat,Diet
47,Still_Bay,WarmTemperate,-34.37,21.44,0.0286,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
48,Gouritzmound,WarmTemperate,-34.35,21.88,0.0355,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
49,Mossel_Bay,WarmTemperate,-34.19,22.16,0.0092,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
50,Klein_Brak,WarmTemperate,-34.09,22.15,0.005,Psammogobius,knysnaensis,Pkn,No,NE,planktonic,7,Benthic,Low,Estuarine,Carnivorous
51,Groot_Brak,WarmTemperate,-34.06,22.23,0.002,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
52,Glentana,WarmTemperate,-34.05,22.32,0.0121,Talorchestia,capensis,Tca,No,NE,planktonic,2,Benthic,Low,Sandy,Filter Feeder
53,Herolds_Bay,WarmTemperate,-34.06,22.4,0.09,Bullia,rhodostoma,Brh,No,NE,planktonic,5,Benthic,Low,Sandy,Carnivorous
54,Touw_river,WarmTemperate,-34,22.58,0.0019,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
55,Hondeklip_Bay,CoolTemperate,-30.32,17.27,0.0033,Parechinus,angulosus,Pan,No,NE,planktonic,6,Benthic,Low,Rocky,Grazer
56,Swartvlei,WarmTemperate,-34.03,22.78,0.0025,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
57,Goukamma,WarmTemperate,-34.05,22.86,0.003,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
58,Brenton_on_Sea,WarmTemperate,-34.08,23.03,0.0078,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
59,Knysna,WarmTemperate,-34.09,23.09,0.01,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
60,Plettenberg_bay,WarmTemperate,-34.07,23.38,0.011,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
61,Tsitsikamma,WarmTemperate,-34.01,23.78,0.008,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
62,Kromme,WarmTemperate,-34.15,24.84,0.0017,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
63,Jeffreys_Bay,WarmTemperate,-34.06,24.93,3.00E-04,Mustelus,mustelus,Mmu,Yes,VU,direct developer,120,Benthic,High,Sandy,Carnivorous
64,Gamtoos_river,WarmTemperate,-33.98,25.03,0.0019,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
65,Schoenmakerskop,WarmTemperate,-34.05,25.6,0.004,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
66,Cape_Recife,WarmTemperate,-34.03,25.71,4.00E-04,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
67,Port_Elizabeth,WarmTemperate,-33.99,25.68,0.006,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
68,Swartkops_River,WarmTemperate,-33.87,25.63,0.0048,Siphonaria,capensis,Sca,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
69,Sundays_river,WarmTemperate,-33.73,25.85,0.0019,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
71,Bushmans_river,WarmTemperate,-33.7,26.65,9.00E-04,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
72,Port_Alfred,WarmTemperate,-33.63,26.87,0.013,Chrysoblephus,laticeps,Cla,Yes,NT,planktonic,50,Demersal Deep,Low,Rocky,Carnivorous
73,Fish_river,WarmTemperate,-33.5,27.14,0.0028,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
74,Old_womans_river,WarmTemperate,-33.48,27.15,0.001,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
75,Kidds_Beach,SubTropical,-33.16,27.7,0.0128,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
76,East_London,SubTropical,-33.06,27.87,0.013,Lithognathus,lithognathus,Lli,Yes,EN,planktonic,140,Demersal Deep,High,Sandy,Carnivorous
77,Nahoon_river,SubTropical,-32.99,27.95,0.0024,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
78,Gqunube,SubTropical,-32.94,28.03,0.0018,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
79,Chintsa,SubTropical,-32.83,28.12,0.001,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
80,Cefani,SubTropical,-32.81,28.14,0.0036,Nassarius,kraussianus,Nkr,No,NE,planktonic,1,Benthic,Low,Estuarine,Grazer
81,Haga_Haga,SubTropical,-32.77,28.23,0.00173,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
83,Kei_river,SubTropical,-32.68,28.39,0.0041,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
84,Ngogwana,SubTropical,-32.65,28.42,0.0014,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
86,Wavecrest,SubTropical,-32.59,28.53,5.00E-04,Siphonaria,serrata,Sse,No,NE,planktonic,2.5,Benthic,Low,Rocky,Grazer
87,Dwesa,SubTropical,-32.27,28.89,0.00072,Afrolittorina,africana,Aaf,No,NE,planktonic,0.8,Benthic,Low,Rocky,Grazer
89,Umganzana,SubTropical,-31.71,29.42,8.00E-04,Palaemon,peringueyi,Ppe,No,NE,planktonic,2.5,Benthic,Medium,Estuarine,Grazer
